2-氟乙醇,分子,是实例,YCH₂—CH₂X,分子类
"1,2-二氟乙烷",分子,是实例,YCH₂—CH₂X,分子类
三氯乙酸 2-氟乙酯,分子,是实例,YCH₂—CH₂X,分子类
2-氯乙醇,分子,是实例,YCH₂—CH₂X,分子类
2-溴乙醇,分子,是实例,YCH₂—CH₂X,分子类
"1,1,2,2-四氯乙烷",分子,是实例,YCH₂—CH₂X,分子类
"1,1,2,2-四溴乙烷",分子,是实例,YCH₂—CH₂X,分子类
"1,1,2,2-四氟乙烷",分子,是实例,YCH₂—CH₂X,分子类
"2,3-二甲基丙烷",分子,是实例,YCH₂—CH₂X,分子类
"3,4-二甲基己烷",分子,是实例,YCH₂—CH₂X,分子类
"2,3-二甲基丁烷",分子,是实例,YCH₂—CH₂X,分子类
"2,3-二甲基-2,3-二硝基丁烷",分子,是实例,YCH₂—CH₂X,分子类
"3,4-二(I-金刚烷基)-2,2,5,5-四甲基己烷",分子,是实例,YCH₂—CH₂X,分子类
丙醛,分子,是实例,YCH₂—CH₂X,分子类
乙醛,分子,是实例,YCH₂—CH₂X,分子类
N-甲基-N-乙酰基苯胺,分子,是实例,YCH₂—CH₂X,分子类
氟,元素,包含元素,2-氟乙醇,分子
氧,元素,包含元素,2-氟乙醇,分子
氟,元素,包含元素,"1,2-二氟乙烷",分子
氟,元素,包含元素,三氯乙酸 2-氟乙酯,分子
氯,元素,包含元素,2-氯乙醇,分子
溴,元素,包含元素,2-溴乙醇,分子
氯,元素,包含元素,"1,1,2,2-四氯乙烷",分子
溴,元素,包含元素,"1,1,2,2-四溴乙烷",分子
氟,元素,包含元素,"1,1,2,2-四氟乙烷",分子
硫代甲酰胺,分子,是实例,氨基化合物,分子类
2-氟乙醇,分子,包含元素,氟,元素
硫代甲酰胺,分子,包含元素,硫,元素
2-氟乙醇,分子,包含元素,氟,元素
环己烷,分子,是实例,有机分子,分子类
2-氟乙醇,分子,包含元素,氟,元素
"1,2-二氟乙烷",分子,包含元素,氟,元素
三氯乙酸2-氟乙酯,分子,包含元素,氟,元素
三氯乙酸2-氟乙酯,分子,包含元素,氯,元素
三氯乙酸2-氟乙酯,分子,包含元素,氧,元素
2-氯乙醇,分子,包含元素,氯,元素
2-溴乙醇,分子,包含元素,溴,元素
"1,1,2,2-四氯乙烷",分子,包含元素,氯,元素
"1,1,2,2-四溴乙烷",分子,包含元素,溴,元素
"1,1,2,2-四氟乙烷",分子,包含元素,氟,元素
丙醛,分子,包含官能团,羰基,官能团
N-甲基-N-乙酰基苯胺,分子,包含官能团,酰胺,官能团
硫代甲酰胺,分子,包含元素,硫,元素
甲酰胺,分子,包含官能团,酰胺,官能团
氨基甲酸酯,分子,包含官能团,氨基,官能团
氨基甲酸酯,分子,包含官能团,酯基,官能团
氯代环己烷,分子,包含元素,氯,元素
三氟代甲氧基环己烷,分子,包含元素,氟,元素
"1,2-二酰基苯",分子,包含官能团,酰基,官能团
"1,2-二酰基苯",分子,包含官能团,羰基,官能团
